,PigType,DETECTED,dist_boar,dist_pig,borderMI,borderNY,borderQC
230,unknown,1,9809.610348069871,2006.9022281796106,252859.6715934492,21635.60874789688,355020.6087802676
231,unknown,1,1319.5601803923826,1556.7622140633337,328203.2423743582,101267.5259644609,229019.2941876666
232,domesticated,1,20032.713280143824,2537.1452100830406,535131.1976742999,163477.06123894037,3644.2192014459747
233,wild boar,1,65080.09024541046,12767.53475115257,356139.62307642755,256495.44011187452,117898.15955691601
234,wild boar,1,3901.6470479856953,5600.046865541999,231993.3143874288,97178.88743818027,285226.2455681589
235,wild boar,1,21377.518772040166,1708.2678640314516,708940.1556181527,59591.91859920342,0.0
236,wild boar,1,13775.445342564617,10639.290002281887,514791.5308378967,192120.4936711373,13684.516743416665
237,wild boar,1,6758.990488390133,6666.79846085387,170077.53028315204,105293.9587711454,399752.333777972
238,domesticated - pot bellied,1,24688.461480493504,2367.9103539640932,466182.6071129142,50683.64440198546,145375.93283313533
239,domesticated - pot bellied,1,22289.84041632393,1937.8843825246108,384802.9350614509,132487.998588949,188074.53950240678
240,unknown,1,1455.4025073839937,247.08077686848668,262503.2047139401,156345.61422507296,224387.38955571997
241,unknown,1,37084.93722968075,261.01343836848366,141214.18173271994,186068.3900027576,335089.76722877735
242,domesticated,1,21897.78915404468,196.9658206401672,289805.9810226279,99333.1140732413,246314.75274238532
243,domesticated - pot bellied,1,9098.922662290364,1103.4068149894442,194935.6722180632,97403.04337514342,328283.9970940521
244,domesticated - pot bellied,1,7609.719203967472,1834.7971131748604,198945.1834079291,77320.93300445475,362966.8146777643
245,domesticated - pot bellied,1,5714.509033636329,9335.188213417634,333990.06549518934,151786.27830556693,189624.95789247396
246,wild boar,1,1136.1136605258714,1288.3966637410954,518429.13051918783,21448.42661721476,119245.63633828584
247,domesticated,1,14878.421775619548,7219.340698045198,234975.6769787081,44820.98391818536,382559.45380002895
248,unknown,1,1803.8258064427187,1803.953605214625,646260.3138533452,51911.10189105275,12984.49754481699
249,unknown,1,37884.89404965007,564.2201587470635,117190.00659719523,188695.88839965552,361392.3005761289
250,domesticated - pot bellied,1,26107.73272136853,447.62253597300025,174693.1299713101,135798.12438830294,319998.722780741
251,domesticated,1,20365.260359875065,3279.3540369861225,287441.7865625508,105133.45434716293,242273.4832776757
252,domesticated,1,24256.113667817826,219.40980932440297,150073.49903831483,133629.77602892122,360098.75490429543
253,domesticated - pot bellied,1,37050.09128627725,2006.284283916756,94067.75057113003,190255.99215170552,457007.20803614694
254,domesticated,1,14918.111798197857,3475.192766276912,508802.7273045729,36704.09601982795,111584.6954044712
255,wild boar,1,1300.6284257670147,907.9665662503155,259586.45218468353,154060.3611137458,227804.3412585814
256,domesticated - pot bellied,1,21756.638896912762,646.4244263799137,212498.02978177668,136152.72765255842,278443.4190596547
257,wild boar,1,410.4695373729928,3320.184264156279,656004.106523374,35177.92952792186,26910.930293197514
